課程名稱,老師,學分數
星星月亮太陽－天文漫談,"曾瑋玲
三 3,4
公館 理圖001",2 學分
博物館探索,"黃玫瑄
三 6,7
和平 誠301",2 學分
日本美術鑑賞,"蔡家丘
四 8,9
和平 美術館601",2 學分
宇宙中的生命與太空環境,"橋本康
三 6,7
公館 Ｅ202",2 學分
音樂與戲劇,"王望舒
四 3,4
和平 誠202",2 學分
流行文化與亞際溝通,"蔡如音
二 3,4
和平 誠202",2 學分
舞蹈鑑賞,"王宏豪
四 2,3,4
和平 誠102",3 學分
科學的語言,"蔡承志
二 8,9
和平 正204",2 學分
音樂與我,"趙菁文
三 5,6
和平 音308",2 學分
資訊素養與媒體識讀,"洪秀錦
二 3,4
TR-513",2 學分
中醫學概論,"彭溫雅
三 1,2
TR-409-1",2 學分
歐盟、全球化－跨域在地思考永續發展目標,"楊永慈
三 8,9
IB-304",2 學分
STREAM導論,"許碩驛
三 6,7,8
TR-210",3 學分
傳播科技發展與文化,"洪秀錦
一 6,7
TR-212",2 學分
傳播科技發展與文化,"洪秀錦
一 10,9
TR-212",2 學分
配色的基礎與實踐,"陳鴻興
四 10,9
TR-313",2 學分
文化遺產與永續發展,"林宜珍
三 3,4
TR-510",2 學分
文化遺產與永續發展,"林宜珍
三 6,7
TR-511",2 學分
社會學與人生,"黃信洋
二 3,4
EE-406",2 學分
社會學與人生,"黃信洋
二 6,7
TR-211",2 學分
網路與心理健康,"許碩驛
三 3,4
TR-214",2 學分
原住民藝術與策展實務,"曾瓊慧
一 10,9
TR-311",2 學分
城南小旅行,"黃信洋
四 6,7
TR-517",2 學分
慢城南的漫書寫,"許碩驛
三 10,9
TR-610",2 學分
客家戲曲妝扮美感探索,"石美芳
五 3,4
TR-615",2 學分
電影與精神疾病,"徐昀
四 6,7
TR-211",2 學分
年代美甲社會價值暨文化探討,"高瑞雲
一 3,4
T4-402",2 學分
戲曲後花園,"鍾幸玲
一 6,7
普102",2 學分
劇場實驗：表演,"王靖惇
四 2,3,4
總一館106",2 學分
劇作家之路：編劇理論與實務,"林智莉
四 8,9
新304",2 學分
劇場設計賞析,"李柏霖
一 6,7
總一館210",2 學分
毒道之處～看不見的危機!,"姜至剛
一 8,9
普101",2 學分
臺灣現代小說選讀,"鄭芳婷
五 6,7,8
博雅305",3 學分
臺灣文學史概論,"楊雅儒
三 3,4,5
普502",3 學分
影像與臺灣文化,"謝欣芩
二 3,4,5
博雅406",3 學分
框架外的思考:五分鐘英文講台,"李維晏
五 2,3,4
普501",3 學分
框架外的思考:五分鐘英文講台,"李維晏
五 3,4,5",3 學分
提筆表達你的觀點：批判寫作,"趙雄健
五 2,3,4
共103",3 學分
創意與寫作表達,"蘇虹菱
四 2,3,4
綜203",3 學分
職場英文寫作與口語表達,"陳巧玲
四 6,7,8",3 學分
深造預備英文寫作,"胡至柔
四 2,3,4
博雅301",3 學分
深造預備英文寫作,"胡至柔
四 3,4,5",3 學分
英語演說與溝通技巧,"柯凱彣
一 2,3,4
博雅302",3 學分
英語演說與溝通技巧,"柯凱彣
一 3,4,5",3 學分
